Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
1.000000000000000000e+00,1.300000000000000000e+01,7.000000000000000000e+00,7.000000000000000000e+00,1.300000000000000000e+01,3.499999999999999778e-01,3.499999999999999778e-01,6.500000000000000222e-01,3.639712136660380043e-02,1.067706119811258514e+00
2.000000000000000000e+00,1.400000000000000000e+01,6.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01,2.999999999999999889e-01,4.000000000000000222e-01,6.500000000000000222e-01,1.531454711001670188e-01,1.277822376717124175e+00
3.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000056e-01,2.500000000000000000e-01,8.249999999999999556e-01,3.277228560592607698e-01,2.212337823633962142e+00
4.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,2.500000000000000000e-01,2.500000000000000000e-01,7.500000000000000000e-01,-3.108823235249253969e-01,2.159484983095721677e+00
6.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,2.500000000000000000e-01,1.000000000000000056e-01,8.249999999999999556e-01,-3.058123865666807495e-01,3.793344625185336660e+00
7.000000000000000000e+00,1.700000000000000000e+01,3.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,1.499999999999999944e-01,1.000000000000000056e-01,8.750000000000000000e-01,-9.166698294202291208e-02,3.124298380061130587e+00
9.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000222e-01,3.656483031685709983e-01,5.199846097122009070e+00
1.200000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,5.000000000000000278e-02,1.499999999999999944e-01,9.000000000000000222e-01,1.202965061406982228e+00,7.699204028358594520e+00
1.600000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,5.000000000000000278e-02,1.499999999999999944e-01,9.000000000000000222e-01,2.080502828526076264e+00,9.268079353800830589e+00
2.000000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000222e-01,1.868036747447504808e+00,1.175158089853258581e+01
2.600000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.324941549482070879e+00,1.512094606492388138e+01
3.300000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.117905040100674707e+00,1.645271990216632574e+01
4.200000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000278e-02,0.000000000000000000e+00,9.749999999999999778e-01,9.426549528125918176e-01,2.080391175321178920e+01
5.400000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,9.499999999999999556e-01,2.921475044888603545e+00,2.551451256942474188e+01
7.000000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000278e-02,0.000000000000000000e+00,9.749999999999999778e-01,-2.147195372641056199e+00,3.176193791513649245e+01
8.900000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,5.000000000000000278e-02,1.499999999999999944e-01,9.000000000000000222e-01,9.556816340440969171e+00,4.978183889958225450e+01
1.150000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.221006346726698943e+00,5.124813343099285845e+01
1.470000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.108517437022319285e+01,7.701736867447057477e+01
1.890000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.911373509491324896e+01,1.154280028047022739e+02
2.430000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.499999999999999944e-01,9.250000000000000444e-01,1.148089602749127991e+01,8.891471416841622499e+01
3.120000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000278e-02,9.749999999999999778e-01,-2.324225627187888499e+00,1.357381047571774104e+02
4.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000278e-02,9.749999999999999778e-01,-2.192451054322646087e+00,1.815384013802406571e+02
