Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
1.000000000000000000e+00,1.300000000000000000e+01,7.000000000000000000e+00,1.300000000000000000e+01,7.000000000000000000e+00,3.499999999999999778e-01,6.500000000000000222e-01,5.000000000000000000e-01,-1.211574084058577618e-02,5.936147233099614562e-01
2.000000000000000000e+00,1.600000000000000000e+01,4.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,2.000000000000000111e-01,2.500000000000000000e-01,7.750000000000000222e-01,-1.261721690603856416e-01,9.713509564191823431e-01
4.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.300000000000000000e+01,2.500000000000000000e-01,3.499999999999999778e-01,6.999999999999999556e-01,-5.358335769152944121e-03,1.479002036919017105e+00
6.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,7.000000000000000000e+00,1.300000000000000000e+01,1.000000000000000056e-01,3.499999999999999778e-01,7.750000000000000222e-01,1.898194630229120550e-01,1.825263830968148149e+00
8.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,7.000000000000000000e+00,1.300000000000000000e+01,2.500000000000000000e-01,3.499999999999999778e-01,6.999999999999999556e-01,4.495334753247618442e-01,1.982209606625519482e+00
1.300000000000000000e+01,1.800000000000000000e+01,2.000000000000000000e+00,9.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000056e-01,4.500000000000000111e-01,7.249999999999999778e-01,1.005936306622911003e+00,2.534209003447101871e+00
2.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,8.499999999999999778e-01,1.994524977039751068e+00,3.141280676715184850e+00
3.100000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e-01,7.500000000000000000e-01,3.437509565201184891e+00,3.786293868513202376e+00
4.700000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,5.999999999999999778e-01,6.999999999999999556e-01,3.429323541777921314e+00,3.473772688533466546e+00
7.200000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.250000000000000222e-01,6.681596569889211246e+00,3.580435023802152283e+00
1.110000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,8.499999999999999778e-01,5.749999999999999556e-01,9.326783769414145553e+00,5.535012638893008763e+00
1.700000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000222e-01,5.500000000000000444e-01,1.463072282762952980e+01,7.984581518342260154e+00
2.610000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,8.499999999999999778e-01,5.749999999999999556e-01,1.948174361328810988e+01,1.462925167729861720e+01
4.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.499999999999999556e-01,5.250000000000000222e-01,2.644643641845814130e+01,1.499659282724201326e+01
