Ntrials,rampCorrect,rampAsStep,stepAsRamp,stepCorrect,rampErrorRate,stepErrorRate,overallAccuracy,meanLogBF,sdLogBF
1.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01,2.500000000000000000e-01,4.000000000000000222e-01,6.750000000000000444e-01,-2.384958808728256802e-02,1.109131272909250843e+00
2.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01,5.000000000000000278e-02,2.999999999999999889e-01,8.249999999999999556e-01,5.448481049397777692e-02,1.630989257599247955e+00
3.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01,2.500000000000000000e-01,2.999999999999999889e-01,7.249999999999999778e-01,-1.200845795832343327e-01,1.862561574543508014e+00
4.000000000000000000e+00,1.600000000000000000e+01,4.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000111e-01,1.000000000000000056e-01,8.499999999999999778e-01,-4.548092417418104216e-01,2.314873023352299164e+00
6.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+01,1.000000000000000056e-01,2.500000000000000000e-01,8.249999999999999556e-01,6.567172694746006290e-01,3.310586963813314743e+00
7.000000000000000000e+00,1.900000000000000000e+01,1.000000000000000000e+00,6.000000000000000000e+00,1.400000000000000000e+01,5.000000000000000278e-02,2.999999999999999889e-01,8.249999999999999556e-01,1.157531385943437297e+00,5.364831807291468913e+00
9.000000000000000000e+00,1.800000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01,1.000000000000000056e-01,4.000000000000000222e-01,7.500000000000000000e-01,9.175609382298915984e-01,4.988556543073539906e+00
1.200000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,5.000000000000000278e-02,5.000000000000000278e-02,9.499999999999999556e-01,-6.966603109488304080e-01,6.141832288965027864e+00
1.600000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,9.499999999999999556e-01,2.583885640343765999e-01,8.596350055529004663e+00
2.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.499999999999999944e-01,9.250000000000000444e-01,1.704206313472195644e+00,1.209621749150149661e+01
2.600000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,5.000000000000000278e-02,2.000000000000000111e-01,8.750000000000000000e-01,3.750947306545424631e+00,1.664613772880308673e+01
3.300000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,5.000000000000000278e-02,1.000000000000000056e-01,9.250000000000000444e-01,-3.037551360460144956e+00,1.250522631812027718e+01
4.200000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,5.000000000000000278e-02,5.000000000000000278e-02,9.499999999999999556e-01,3.268223175637416489e+00,2.183978855566856225e+01
5.400000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.499999999999999944e-01,9.250000000000000444e-01,4.614331080165220200e+00,2.590671837464098459e+01
7.000000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,9.499999999999999556e-01,4.889845066412294550e+00,3.511243567424688905e+01
8.900000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.578741053893077062e+00,4.701948169546852085e+01
1.150000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,9.499999999999999556e-01,1.681736594931999118e+00,5.114885146825138662e+01
1.470000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.346281532195530595e+00,7.147289634966608673e+01
1.890000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000278e-02,9.749999999999999778e-01,5.721988125792859314e+00,9.006349329138652138e+01
2.430000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000056e-01,9.499999999999999556e-01,2.811614763689226493e+01,1.448178753252583988e+02
3.120000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.700000000000000000e+01,0.000000000000000000e+00,1.499999999999999944e-01,9.250000000000000444e-01,4.216279425669394954e+01,1.891876957728816819e+02
4.000000000000000000e+02,2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000278e-02,9.749999999999999778e-01,6.388663696844924189e+00,1.785101050724476579e+02
