trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
5.000000000000000278e-02,4.000000000000000777e-02,1.000000000000000000e+01,5.908677102039191595e-07,-2.999744099234839645e+00,2.062673947038420885e-04,1.844358978769324031e-01,4.999940913228979877e-02,2.191317256333606966e-01,9.999881826457959733e+01,2.493544749699064766e+01,6.246713288078512960e+01,8.123279641041504779e-07,8.713768684471362436e-02,1.624655928208230786e-03,1.126967306513760114e+01,5.634198858977536695e+00
5.000000000000000278e-02,1.004754572603832469e-01,1.000000000000000000e+01,2.268887949700594195e-02,-2.293876800878002609e+00,1.984556972827461463e-02,1.623229739271411787e-01,4.391564475990648864e-02,2.214266388682209485e-01,8.783128951981298371e+01,2.157202023468772012e+01,5.470165487725034836e+01,1.373998343581300623e-02,1.714020130852511870e-01,2.747996687162601148e+01,1.401090390931325480e+01,1.299082722666875789e+01
5.000000000000000278e-02,2.523829377920773220e-01,1.000000000000000000e+01,4.178393046117802323e-02,-1.351766679771799984e+00,3.462962069867779602e-02,1.085519295107098270e-01,4.190864904377995803e-02,1.024905031330790584e-01,8.381729808755991940e+01,1.037356110696038414e+01,4.709542959726015710e+01,2.463938568353973152e-02,5.307189597104292750e-02,4.927877136707946448e+01,5.361935212833224718e+00,2.620219505927527237e+01
5.000000000000000278e-02,6.339572769844455946e-01,1.000000000000000000e+01,8.031972319169683461e-02,-4.800258899081485953e-01,7.255064331047980652e-02,8.816072778904547602e-02,4.795407749675273390e-02,6.232150377125552504e-02,9.590815499350546247e+01,6.100694689295383277e+00,5.100442484140042865e+01,4.214525676978263247e-02,3.797675682435850547e-02,8.429051353956525361e+01,3.606995223492696745e+00,4.249959940595176988e+01
5.000000000000000278e-02,1.592428682213989033e+00,1.000000000000000000e+01,3.875702780919386692e-01,3.714736237206273661e-01,2.680607411171019860e-01,9.420636381186534014e-02,3.375702780919386248e-01,1.068149020826265894e-01,6.751405561838772655e+02,1.002745649258944916e+01,3.425840063382332801e+02,2.183901865994246627e-01,6.040520800385466849e-02,4.367803731988493041e+02,5.303484242412855210e+00,2.193904009384687868e+02
5.000000000000000278e-02,4.000000000000000000e+00,1.000000000000000000e+01,2.277528155216832495e+00,1.189800041528517927e+00,1.116492043936381240e+00,1.463414126436460294e-01,2.227528155216833117e+00,1.964943195913726737e-01,4.455056310433666113e+03,1.741755870937576134e+01,2.236236934571520578e+03,3.576895816098179526e-01,1.082264348869454718e-01,7.153791632196357568e+02,8.576382143550352666e+00,3.595281970264491633e+02
8.400000000000000799e-01,4.000000000000000777e-02,1.000000000000000000e+01,8.629932176625068063e-01,-2.744056559004180773e+00,1.556353667900655866e-02,3.123077599926803449e-01,3.977167880184741960e-02,4.748192658640197905e-01,4.734723666886597293e+00,6.565044253721308110e+01,3.519258310204983786e+01,4.645532671928116752e-02,2.505647158887914783e-01,5.530396038009663506e+00,4.520687655849501141e+01,2.319408971163929678e+01
8.400000000000000799e-01,1.004754572603832469e-01,1.000000000000000000e+01,8.430952189109890416e-01,-2.307415833332242094e+00,1.551735580322303673e-02,3.336183798933102240e-01,2.231025811321916269e-02,1.960354921028820141e-01,2.655983108716566399e+00,1.934320575076023374e+01,1.099959442973839963e+01,2.894370300172384794e-02,1.753704986418799516e-01,3.445678928776648053e+00,1.734434151103270239e+01,9.915766202715856181e+00
8.400000000000000799e-01,2.523829377920773220e-01,1.000000000000000000e+01,8.464268474683083188e-01,-1.370435043588418500e+00,3.847850176148225054e-02,1.328499559416309039e-01,1.519074664882833457e-02,9.461149325241040298e-02,1.808422220098611088e+00,9.328303383358813150e+00,5.568362801728712341e+00,1.712249561889912439e-02,9.997789634126783009e-02,2.038392335583228743e+00,9.341413560326978782e+00,4.357187688647141677e+00
8.400000000000000799e-01,6.339572769844455946e-01,1.000000000000000000e+01,8.711186850075280930e-01,-4.684321093265645386e-01,9.018496860711802676e-02,1.078520491528838499e-01,8.264528959266867481e-02,9.231240404709646630e-02,9.838724951508174499e+00,9.091238447783494436e+00,9.464981699645832691e+00,4.866524534491579318e-02,5.398731185607139049e-02,5.793481588680450933e+00,5.187141353766701712e+00,3.737767969778302835e+00
8.400000000000000799e-01,1.592428682213989033e+00,1.000000000000000000e+01,9.229774854467514000e-01,4.512966748998837874e-01,4.142860912429839892e-01,1.314299877726445021e-01,3.300035189656297940e-01,8.159705991357142640e-02,3.928613321019402349e+01,7.992149159037033712e+00,2.363914118461552860e+01,2.060397735569711175e-01,6.626973537626813793e-02,2.452854447106798474e+01,6.248581896350724918e+00,1.383741613871737108e+01
8.400000000000000799e-01,4.000000000000000000e+00,1.000000000000000000e+01,2.324473168213241348e+00,1.203099290547038347e+00,1.103153619166868493e+00,1.405137999966859785e-01,1.484473168213241934e+00,1.831950705728521422e-01,1.767229962158621106e+02,1.615535805477616904e+01,9.643917713531912739e+01,3.842859058368899849e-01,1.257599754605389364e-01,4.574832212343927296e+01,1.026533252064896473e+01,2.507626891925912460e+01
1.630000000000000115e+00,4.000000000000000777e-02,1.000000000000000000e+01,1.657254886570869390e+00,-2.402595988603496213e+00,7.280563379426394088e-02,4.782296972877141950e-01,6.117167268466321139e-02,8.162798362647043504e-01,3.752863354887313818e+00,1.338548551734407397e+02,6.880385926416403208e+01,4.287565327910730639e-02,2.575386448765854541e-01,2.630408176632350159e+00,7.161771881498066250e+01,3.578830213137815974e+01
1.630000000000000115e+00,1.004754572603832469e-01,1.000000000000000000e+01,1.655110507837581624e+00,-2.276390910980152338e+00,7.213844424862569937e-02,5.122923418544339524e-01,6.829589167046852538e-02,1.620318602644564843e-01,4.189932004323222436e+00,1.812459896883154187e+01,1.115726548657738348e+01,4.805185031900827825e-02,1.854990183079691934e-01,2.947966277239771227e+00,2.527081672224926834e+01,1.344809240969872199e+01
1.630000000000000115e+00,2.523829377920773220e-01,1.000000000000000000e+01,1.671966194367659808e+00,-1.772376246073850581e+00,8.526390828167300373e-02,4.556790255568357040e-01,4.399098572438200211e-02,4.134835157496292157e-01,2.698833480023435705e+00,3.129760473379470653e+01,1.699821910690907600e+01,4.188233796082382193e-02,3.099509796144310214e-01,2.569468586553608880e+00,1.837733106374352943e+01,9.362667763735023740e+00
1.630000000000000115e+00,6.339572769844455946e-01,1.000000000000000000e+01,1.658310617723898206e+00,-4.039896753608247515e-01,1.353609282064909547e-01,1.282980148431097644e-01,1.147666059378538855e-01,1.051877411061993006e-01,7.040896069806985125e+00,1.098348302877134586e+01,9.012189549289164603e+00,9.491280113561452458e-02,6.998508972575556708e-02,5.822871235313773930e+00,7.972029281609811946e+00,5.210484843597174454e+00
1.630000000000000115e+00,1.592428682213989033e+00,1.000000000000000000e+01,1.560792223439098070e+00,4.661953340316228878e-01,4.798632915119511178e-01,1.510769429027319088e-01,3.617819568121042328e-01,1.408275739210764765e-01,2.219521207436222454e+01,1.398556557295612812e+01,1.809038882365917544e+01,2.176295444646184907e-01,1.150056994521605341e-01,1.335150579537536508e+01,1.088161620463567658e+01,1.091121254971862164e+01
1.630000000000000115e+00,4.000000000000000000e+00,1.000000000000000000e+01,2.298796710568269841e+00,1.289770728261052879e+00,1.063947756270189116e+00,1.136864482118814940e-01,7.124666175911946731e-01,9.652363285883772126e-02,4.370960844117759336e+01,9.118315563867424700e+00,2.641396200252250281e+01,4.494486850084313256e-01,4.518210738869336829e-02,2.757353895757247031e+01,4.062387127160739020e+00,1.423419808482497473e+01
2.419999999999999929e+00,4.000000000000000777e-02,1.000000000000000000e+01,2.462505755215339764e+00,-2.348245387096069781e+00,1.237006937878334656e-01,5.615868970735814480e-01,8.187385420944867653e-02,8.706304377721307830e-01,3.383217116092920751e+00,1.421176586348104252e+02,7.275043787545166651e+01,6.441135395868086144e-02,1.704795989090201747e-01,2.661626196639705011e+00,4.389243474590774241e+01,2.221469410115895116e+01
2.419999999999999929e+00,1.004754572603832469e-01,1.000000000000000000e+01,2.535405000020944932e+00,-2.049751265588826588e+00,1.460159910053449583e-01,5.993441855117727091e-01,1.585528155081090684e-01,3.356778663632792870e-01,6.551769235872276553e+00,4.794948415953231091e+01,2.725062669770229107e+01,1.321051885569020645e-01,3.457335976383325016e-01,5.458892089128184466e+00,6.194100344138154668e+01,3.126789095591282219e+01
2.419999999999999929e+00,2.523829377920773220e-01,1.000000000000000000e+01,2.375098293996789067e+00,-1.803977823845343220e+00,1.391566550251847056e-01,6.071398602609743289e-01,8.689733667058981148e-02,4.378543608932943809e-01,3.590799035974785447e+00,3.262615001437298190e+01,1.810847452517388234e+01,4.984339229843260527e-02,3.242687043457759266e-01,2.059644309852587174e+00,1.934064433552741136e+01,1.025419509289355702e+01
2.419999999999999929e+00,6.339572769844455946e-01,1.000000000000000000e+01,2.354792784203910916e+00,-5.083505238150651806e-01,1.906152052598862334e-01,1.635313331443291052e-01,1.723196231167577752e-01,1.342992680734687305e-01,7.120645583337098294e+00,1.276453390497362861e+01,9.942589744155364784e+00,9.577842697538786754e-02,8.645742224374042273e-02,3.957786238652391653e+00,7.720085303378160013e+00,5.203572792451965690e+00
2.419999999999999929e+00,1.592428682213989033e+00,1.000000000000000000e+01,2.409699232038570393e+00,5.372286103078864894e-01,6.359730765325510848e-01,1.947133123579491421e-01,2.319944655426193214e-01,1.323228536392832833e-01,9.586548162918155924e+00,1.412685572348071616e+01,1.185670194319943604e+01,1.845741183968382382e-01,9.890085386952307545e-02,7.627029685819762150e+00,1.117329968570387422e+01,8.847316032911122008e+00
2.419999999999999929e+00,4.000000000000000000e+00,1.000000000000000000e+01,2.623089310071820002e+00,1.273570518401019980e+00,1.035332657975552184e+00,1.213627486933492594e-01,2.992084619000109358e-01,1.127238427188706205e-01,1.236398602892607457e+01,1.050465892609167540e+01,1.143432247750887498e+01,1.871602829813061031e-01,6.254922514164777680e-02,7.733895990963062239e+00,5.502727269517114550e+00,3.558196692135010331e+00
3.209999999999999964e+00,4.000000000000000777e-02,1.000000000000000000e+01,3.312930110849938270e+00,-2.021973585620928660e+00,2.089497858400566344e-01,6.876202409427383255e-01,1.649604349402286341e-01,1.196902239247271904e+00,5.138954359508678849e+00,2.461835386417863560e+02,1.256612465006475361e+02,1.124119629394480652e-01,2.983938833854429262e-01,3.501930309640126637e+00,1.231631982020449811e+02,6.071463856273839355e+01
