Ntrials,betaExpectation,betaSD,betaError,logSigmaExpectation,logSigmaSD,logSigmaError
1.000000000000000000e+00,2.017963350939806944e+00,9.579409173304604952e-01,9.179633509398068547e-01,-1.349821398415913087e+00,1.246346197789832688e+00,4.071343449796077651e-02
2.000000000000000000e+00,2.191497523599755137e+00,9.112907280414814792e-01,1.091497523599755048e+00,-1.400473846266627742e+00,1.253841564224784211e+00,5.351985742924791900e-02
4.000000000000000000e+00,1.184871090359860712e+00,3.188512481589153014e-01,8.487109035986062366e-02,-2.171173721248083499e+00,7.571988059632390744e-01,1.859563171681742344e-01
7.000000000000000000e+00,1.054555846074507031e+00,1.830288621166345497e-01,4.544415392549305821e-02,-2.070402979925370701e+00,6.883091321208716362e-01,1.738650583873992406e-01
1.400000000000000000e+01,1.108959724722138107e+00,1.276110924436318073e-01,8.959724722138018294e-03,-2.146610385201780158e+00,6.062140460662230890e-01,1.831203358731421371e-01
2.800000000000000000e+01,1.014772231893707577e+00,9.073319708038846132e-02,8.522776810629251187e-02,-1.517877651833893893e+00,3.522492607100906059e-01,8.082343734821945125e-02
5.400000000000000000e+01,9.839511844929702544e-01,5.002614266079827288e-02,1.160488155070298344e-01,-1.771096743869687185e+00,3.370854910037123786e-01,1.298537204310588611e-01
1.060000000000000000e+02,1.087874110895188817e+00,4.765247229653725436e-02,1.212588910481127158e-02,-1.395980869879869690e+00,1.407369881521531862e-01,5.240993641155985983e-02
2.060000000000000000e+02,1.103669855842708047e+00,9.381212050038733458e-03,3.669855842707958615e-03,-1.340346892041094584e+00,9.270938385209383237e-02,3.824514784544125190e-02
4.000000000000000000e+02,1.103444032640849226e+00,1.138820524489282324e-03,3.444032640849137294e-03,-1.176907984709127497e+00,5.640617945561036961e-02,8.230319552735398947e-03
