Ntrials,betaExpectation,betaSD,betaError,logSigmaExpectation,logSigmaSD,logSigmaError
1.000000000000000000e+00,1.568414801887412224e+00,9.170180342289189213e-01,4.684148018874121355e-01,-1.067731516561350791e+00,1.304829320900162903e+00,4.378750979137574495e-02
2.000000000000000000e+00,1.438419915993129239e+00,6.650165819937943201e-01,3.384199159931291501e-01,-1.769544198827003090e+00,1.065686948675653278e+00,1.295893555020549981e-01
3.000000000000000000e+00,1.410068920853979391e+00,5.055844677611296412e-01,3.100689208539793018e-01,-1.994556152940213156e+00,9.170481499420607419e-01,1.639259631733162859e-01
4.000000000000000000e+00,1.239851139343301600e+00,3.934825719242876496e-01,1.398511393433015115e-01,-2.061055456355643134e+00,8.739940254931461983e-01,1.726804812416220247e-01
5.000000000000000000e+00,1.497844808688669982e+00,5.439647306540996707e-01,3.978448086886698931e-01,-1.714813808497014591e+00,9.767846522117802355e-01,1.200027684516258020e-01
6.000000000000000000e+00,2.009777737003109799e+00,7.107639857832362962e-01,9.097777370031097099e-01,-1.169205144481688219e+00,1.028366245599644735e+00,1.061373621162020608e-02
7.000000000000000000e+00,1.459807848932629382e+00,4.921011558334205116e-01,3.598078489326292928e-01,-8.272996340368545809e-01,6.957494759552770303e-01,1.372283702351185242e-01
8.000000000000000000e+00,1.459205147523995771e+00,4.410458900607619470e-01,3.592051475239956826e-01,-8.631129710350109452e-01,7.161665026049242044e-01,1.218468392313179494e-01
9.000000000000000000e+00,1.527089480834593394e+00,4.573747267635082103e-01,4.270894808345933047e-01,-8.405519754217903872e-01,7.021935620327575123e-01,1.314722955848245389e-01
1.000000000000000000e+01,1.477695435972084859e+00,3.793322570921393022e-01,3.776954359720847698e-01,-1.066108047276324022e+00,7.056664179918245017e-01,4.434609155157770433e-02
1.100000000000000000e+01,1.400444625012764011e+00,2.950535014637303832e-01,3.004446250127639217e-01,-1.340093596799394993e+00,7.060606005801504104e-01,3.817883818929307393e-02
1.200000000000000000e+01,1.358251394320267424e+00,2.523483663956067602e-01,2.582513943202673357e-01,-1.473370501328711502e+00,7.080348410807371096e-01,7.084817442381435848e-02
1.300000000000000000e+01,1.284301075227243460e+00,2.093877579359014196e-01,1.843010752272433717e-01,-1.662167811669683193e+00,6.972404466261552525e-01,1.102727589507998263e-01
1.400000000000000000e+01,1.217874488161137192e+00,1.820593753629640987e-01,1.178744881611371031e-01,-1.746893115528242557e+00,6.721700934061185517e-01,1.256853214172237998e-01
1.600000000000000000e+01,1.123430243453699129e+00,1.500777931158638612e-01,2.343024345369904005e-02,-1.736412188429658610e+00,6.363375810299192192e-01,1.238487342229066257e-01
1.700000000000000000e+01,1.236957244141646983e+00,1.797206896872910464e-01,1.369572441416468944e-01,-1.318327306231391827e+00,4.934859709749929713e-01,3.241748856119752720e-02
1.900000000000000000e+01,1.230155610535371480e+00,1.662882267838153849e-01,1.301556105353713910e-01,-1.354123719472532850e+00,4.874527798347739749e-01,4.182657229331948612e-02
2.100000000000000000e+01,1.280286318993283379e+00,1.638428981622471747e-01,1.802863189932832899e-01,-1.304632906097569656e+00,4.384268209739111688e-01,2.872790089671717340e-02
2.300000000000000000e+01,1.246634392727220320e+00,1.475247315986202012e-01,1.466343927272202308e-01,-1.354175804904643954e+00,4.175132884904499964e-01,4.184001901766892795e-02
2.500000000000000000e+01,1.187397793288585746e+00,1.291901041237949188e-01,8.739779328858565677e-02,-1.439566961835866632e+00,4.181599883152362085e-01,6.296962033842964934e-02
2.800000000000000000e+01,1.107568811791615371e+00,1.132939556317482249e-01,7.568811791615281948e-03,-1.407503623474290144e+00,3.413281303512723519e-01,5.524648191441905443e-02
3.000000000000000000e+01,1.136225097582341803e+00,1.207743754071729930e-01,3.622509758234171429e-02,-1.265857313347230395e+00,2.890496229493608182e-01,1.800256768381452988e-02
3.300000000000000000e+01,1.067476205372531739e+00,1.062770317712015689e-01,3.252379462746834982e-02,-1.251586191216966792e+00,2.455531790376219714e-01,1.394929429929608888e-02
3.600000000000000000e+01,1.097942910258333127e+00,1.050720363590959966e-01,2.057089741666962013e-03,-1.224073978157433240e+00,2.288213466222850656e-01,5.970147639627998437e-03
4.000000000000000000e+01,1.061860508555328098e+00,9.825937360703010381e-02,3.813949144467199126e-02,-1.221763765456715722e+00,2.207584159258416112e-01,5.290090904921995740e-03
4.400000000000000000e+01,1.090587629216918319e+00,9.497787276227233344e-02,9.412370783081769332e-03,-1.222017441329336096e+00,2.153960806630961511e-01,5.364842216578624701e-03
4.800000000000000000e+01,1.092350481378367100e+00,8.636354674886466409e-02,7.649518621632989124e-03,-1.298168924278782610e+00,2.160359751822664154e-01,2.696872345999973275e-02
5.300000000000000000e+01,1.077472469399573196e+00,8.001430565300338138e-02,2.252753060042689270e-02,-1.353963272359653303e+00,2.141076155743842635e-01,4.178514578892905673e-02
5.800000000000000000e+01,1.088139964971285956e+00,7.613873812595291224e-02,1.186003502871413318e-02,-1.315444049390682490e+00,1.913071266925803204e-01,3.164486615546413528e-02
6.300000000000000000e+01,1.109716139741635965e+00,6.994945533530244619e-02,9.716139741635876348e-03,-1.312715373295765930e+00,1.854145383170877626e-01,3.091161196516833964e-02
6.900000000000000000e+01,1.091758796212664251e+00,6.487965361172472190e-02,8.241203787335837916e-03,-1.349512527620181590e+00,1.769435606801593452e-01,4.063333608075753167e-02
7.600000000000000000e+01,1.057228405298262341e+00,7.174062469401405739e-02,4.277159470173774736e-02,-1.302837542398494364e+00,1.645753426922227369e-01,2.824043135579568098e-02
8.300000000000000000e+01,1.044667625956016810e+00,7.117187586794812559e-02,5.533237404398327897e-02,-1.342058725642402361e+00,1.676242270514710364e-01,3.869284529556887842e-02
9.200000000000000000e+01,1.034898274425100073e+00,7.029627173787666994e-02,6.510172557490001566e-02,-1.351893173585096530e+00,1.581995974793695137e-01,4.125006188847435418e-02
1.000000000000000000e+02,1.039330683879898798e+00,7.007804979143013313e-02,6.066931612010129093e-02,-1.298364161616081924e+00,1.466879598236879856e-01,2.702202415611854036e-02
1.100000000000000000e+02,1.060750859442171068e+00,6.554389186259240718e-02,3.924914055782902089e-02,-1.285459303185741753e+00,1.349633504154981178e-01,2.347645368587036874e-02
1.210000000000000000e+02,1.064378125859568369e+00,6.341435876619996859e-02,3.562187414043171962e-02,-1.278216095913425665e+00,1.304886182960419694e-01,2.146626500615528288e-02
1.320000000000000000e+02,1.066945341401807523e+00,6.160927013947350983e-02,3.305465859819256558e-02,-1.274553635537031049e+00,1.208819452549692863e-01,2.044427588329789103e-02
1.450000000000000000e+02,1.081948384343110359e+00,5.125039060462616841e-02,1.805161565688973013e-02,-1.220451190963431243e+00,1.068154702769450876e-01,4.903008213465676057e-03
1.590000000000000000e+02,1.073332706006294490e+00,5.727423340889889469e-02,2.666729399370559861e-02,-1.264259941441564949e+00,1.110044806862796885e-01,1.755175294442135048e-02
1.740000000000000000e+02,1.092863201305259713e+00,3.727563064718949354e-02,7.136798694740376092e-03,-1.258581588316664224e+00,9.826552512799434369e-02,1.594334983946782414e-02
1.910000000000000000e+02,1.098819501239801655e+00,2.601607415274644758e-02,1.180498760198434027e-03,-1.211612672370377286e+00,8.885337424187758626e-02,2.283227529284115320e-03
2.100000000000000000e+02,1.103455927495490707e+00,1.098188539878769757e-02,3.455927495490618284e-03,-1.239395309910335197e+00,8.782657432222087945e-02,1.044074137490574872e-02
2.300000000000000000e+02,1.103707846297982798e+00,9.200106859448239568e-03,3.707846297982708705e-03,-1.218372147097423586e+00,8.449742093595220827e-02,4.288850413531997141e-03
2.520000000000000000e+02,1.102341627094293619e+00,1.268368833331720569e-02,2.341627094293530220e-03,-1.217648413766531545e+00,8.219908292573227526e-02,4.074756934311474232e-03
2.770000000000000000e+02,1.102355408031150619e+00,1.234725014470437233e-02,2.355408031150529879e-03,-1.208914547794491812e+00,7.860455168673416426e-02,1.478865942916518517e-03
3.030000000000000000e+02,1.098971340835773747e+00,2.445077975238024726e-02,1.028659164226342071e-03,-1.188639836914593406e+00,6.932865937479922025e-02,4.635336138819279306e-03
3.330000000000000000e+02,1.102054050313704181e+00,1.380755655431178085e-02,2.054050313704092190e-03,-1.169000184058741398e+00,5.231914885352726557e-02,1.067740625906427043e-02
3.650000000000000000e+02,1.102767368573639661e+00,9.673372468426828102e-03,2.767368573639572560e-03,-1.170950113842339491e+00,5.186464233949339420e-02,1.007219738067904879e-02
4.000000000000000000e+02,1.103143456124798805e+00,6.479613695672623193e-03,3.143456124798715834e-03,-1.190469808165251830e+00,6.711578398808340506e-02,4.078372001360075494e-03
