trueMean,trueVar,numberOfDatasets,meanExpectation,varExpectation,meanSD,varSD,meanAbsError,varAbsError,meanPercentError,varPercentError,combinedPercentError,meanAbsErrorDatasetSD,varAbsErrorDatasetSD,meanPercentErrorDatasetSD,varPercentErrorDatasetSD,combinedPercentErrorDatasetSD
5.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,5.248288740280461440e+00,1.453929790597309202e+00,4.315807648947448394e-01,5.553880589910862309e-01,2.496742292227281668e-01,4.539297905973089797e-01,4.993484584454563446e+00,4.539297905973089797e+01,2.519323182209273071e+01,1.500484994883618250e-01,5.107802419833948893e-01,3.000969989767236612e+00,5.107802419833947738e+01,2.521133072050561807e+01
5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+01,5.151042154809633900e+00,2.437895773545183165e+00,2.136986307847953126e-01,9.812068377573093247e-01,1.606779056385986004e-01,8.655698862267833249e-01,3.213558112771971675e+00,4.327849431133915914e+01,2.324602621205556829e+01,4.575852707327922320e-02,7.278896950710450620e-01,9.151705414655844084e-01,3.639448475355224843e+01,1.823500834047722208e+01
5.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+01,5.280101776319282791e+00,3.499946568118128543e+00,2.669786308330016622e-01,1.269023774494747681e+00,2.888292930460220065e-01,5.636870362579419202e-01,5.776585860920438797e+00,1.878956787526472993e+01,1.228307686809258215e+01,4.039440617671418710e-01,4.161661265435853685e-01,8.078881235342835865e+00,1.387220421811951176e+01,6.620821002397907051e+00
5.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+01,5.235306824667351755e+00,3.748341467410877925e+00,2.587552324429134853e-01,1.240061046812486856e+00,2.676813278075885760e-01,7.918373363556430178e-01,5.353626556151771965e+00,1.979593340889107367e+01,1.257477998252142193e+01,3.052994003699406322e-01,3.861969929005690250e-01,6.105988007398812201e+00,9.654924822514226790e+00,6.497316819098561069e+00
5.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,5.246930762833237338e+00,4.490948215372533525e+00,1.479034903656858968e-01,1.163083456403678273e+00,2.469307628332368942e-01,5.641649380973789984e-01,4.938615256664737885e+00,1.128329876194757730e+01,8.110957009306158483e+00,2.333992876433285957e-01,3.669285878396212341e-01,4.667985752866571580e+00,7.338571756792426015e+00,4.596261178219021915e+00
5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+01,5.171140972250181100e+00,4.266672871057797245e+00,6.535374794964290968e-02,1.205848636356538162e+00,1.711409722501812669e-01,1.733327128942203643e+00,3.422819445003625560e+00,2.888878548237005361e+01,1.615580246368683959e+01,6.112860059794030312e-03,5.972452984217909711e-01,1.222572011958805993e-01,9.954088307029849148e+00,4.984227276130161144e+00
8.684210526315789380e+00,1.000000000000000000e+00,1.000000000000000000e+01,9.523088867725260087e+00,1.029433480923128030e+00,1.157258615185918993e+00,1.155008136005962333e-01,1.198930318019814312e+00,2.943348092312818645e-02,1.380586426810695322e+01,2.943348092312818132e+00,8.374606180209886119e+00,1.069745694661981217e+00,5.455435978970381988e-02,1.231828375671372200e+01,5.455435978970382571e+00,7.751704241525711581e+00
8.684210526315789380e+00,2.000000000000000000e+00,1.000000000000000000e+01,8.411850623548236427e+00,2.449087961590319384e+00,8.151176625471547865e-01,7.547472278110293198e-01,7.079174979324064365e-01,4.923600606466962404e-01,8.151777248918619989e+00,2.461800303233480491e+01,1.638489014062671600e+01,2.682702357425947870e-01,4.902051960026825861e-01,3.089172411581393884e+00,2.451025980013412919e+01,1.277582811403626550e+01
8.684210526315789380e+00,3.000000000000000000e+00,1.000000000000000000e+01,8.263601332821712830e+00,3.654797655633497122e+00,5.754250555675379797e-01,1.052808103618927849e+00,9.483948039660342610e-01,8.039024589993392089e-01,1.092090986385130336e+01,2.679674863331130297e+01,1.885882924858130494e+01,2.652062617052459714e-01,4.714882864456783618e-01,3.053890286302832546e+00,1.571627621485594872e+01,7.925422227416408560e+00
8.684210526315789380e+00,4.000000000000000000e+00,1.000000000000000000e+01,8.612664856123048551e+00,4.179545940773516932e+00,7.973702890928130449e-01,1.096532459442365548e+00,6.512099909479720505e-01,3.869649247328977859e-01,7.498781713946344851e+00,9.674123118322444981e+00,8.586452416134395804e+00,4.546208405858230828e-01,3.196080862445123127e-01,5.235027861291294826e+00,7.990202156112806264e+00,5.479592653110888278e+00
