Ntrials,mExpectation,mSD,mError,rExpectation,rSD,rError
1.000000000000000000e+00,3.718081914819900646e+01,1.716670025758179818e+01,2.819180851800993537e+00,3.639688230391281643e+00,1.666339682889480756e+00,6.396882303912816425e-01
2.000000000000000000e+00,5.418017443556295376e+01,1.308815766856364426e+01,1.418017443556295376e+01,3.452785481888100971e+00,1.623997668054222521e+00,4.527854818881009713e-01
4.000000000000000000e+00,5.029317238650512678e+01,1.209876212313726285e+01,1.029317238650512678e+01,3.521001238317943205e+00,1.547984644448641367e+00,5.210012383179432049e-01
7.000000000000000000e+00,4.619833607601891856e+01,1.005291488341909734e+01,6.198336076018918561e+00,3.652437953547202909e+00,1.433943407050056074e+00,6.524379535472029090e-01
1.400000000000000000e+01,4.015346262981690728e+01,6.796133136737980251e+00,1.534626298169072811e-01,3.502821541373169367e+00,1.236114899942361900e+00,5.028215413731693673e-01
2.800000000000000000e+01,3.978372036881187057e+01,4.487783364772020001e+00,2.162796311881294287e-01,3.645768975626367592e+00,1.060034495794107690e+00,6.457689756263675918e-01
5.400000000000000000e+01,4.496572493867636666e+01,3.389695930014736458e+00,4.965724938676366662e+00,4.036267079168793792e+00,8.831999157583029225e-01,1.036267079168793792e+00
1.060000000000000000e+02,4.235017044565030631e+01,2.365222557509585322e+00,2.350170445650306306e+00,3.667953326393037727e+00,6.298522663972905278e-01,6.679533263930377274e-01
2.060000000000000000e+02,4.076257000377041351e+01,1.648745694833349873e+00,7.625700037704135070e-01,3.614322126481211317e+00,5.141250308873004382e-01,6.143221264812113169e-01
4.000000000000000000e+02,4.032573021298539118e+01,1.355309137204330883e+00,3.257302129853911765e-01,3.121047907125222842e+00,3.262094163966008931e-01,1.210479071252228422e-01
