Ntrials,mExpectation,mSD,mError,rExpectation,rSD,rError
1.000000000000000000e+00,4.405676036031155718e+01,1.632828677556193142e+01,4.056760360311557179e+00,3.750653457243187106e+00,1.651273812058883239e+00,7.506534572431871055e-01
2.000000000000000000e+00,3.306962658822633472e+01,1.485222752966465265e+01,6.930373411773665282e+00,3.299801300375915680e+00,1.661272301497303205e+00,2.998013003759156803e-01
3.000000000000000000e+00,3.057312464992721956e+01,1.211086907976433125e+01,9.426875350072780435e+00,3.683250921484197971e+00,1.621864240418801950e+00,6.832509214841979706e-01
4.000000000000000000e+00,4.162475432240945850e+01,1.255635286111655624e+01,1.624754322409458496e+00,3.214612145480496341e+00,1.554457892293126475e+00,2.146121454804963413e-01
5.000000000000000000e+00,3.989739796501852709e+01,1.112792372198618551e+01,1.026020349814729116e-01,3.549936501320851701e+00,1.532190905259976921e+00,5.499365013208517006e-01
6.000000000000000000e+00,3.955075583444998699e+01,9.949883512754720272e+00,4.492441655500130082e-01,3.849666360372306251e+00,1.482220759739833138e+00,8.496663603723062508e-01
7.000000000000000000e+00,3.811517115375345099e+01,8.738481143383232563e+00,1.884828846246549006e+00,4.116682513795011822e+00,1.416624791967010744e+00,1.116682513795011822e+00
8.000000000000000000e+00,3.536580350091976044e+01,7.739813142652542055e+00,4.634196499080239562e+00,4.118673569971913473e+00,1.390115769135674029e+00,1.118673569971913473e+00
9.000000000000000000e+00,3.271799610664054825e+01,7.152669527634018642e+00,7.282003893359451752e+00,3.853848792600658602e+00,1.406636737126213621e+00,8.538487926006586015e-01
1.000000000000000000e+01,3.374881767042928260e+01,6.656509851974000469e+00,6.251182329570717400e+00,4.035578434635090694e+00,1.362282961113471025e+00,1.035578434635090694e+00
1.100000000000000000e+01,3.710589888226434141e+01,7.260879021988780657e+00,2.894101117735658590e+00,3.824820975368022680e+00,1.363732902728189034e+00,8.248209753680226797e-01
1.200000000000000000e+01,3.828539007627122714e+01,6.910537885039835793e+00,1.714609923728772856e+00,3.961773131945767634e+00,1.329917563780522061e+00,9.617731319457676342e-01
1.300000000000000000e+01,3.945560119201874727e+01,6.654455180968430028e+00,5.443988079812527303e-01,4.075733728805678524e+00,1.297850393664210733e+00,1.075733728805678524e+00
1.400000000000000000e+01,3.970641215675420455e+01,6.235943305424801686e+00,2.935878432457954545e-01,4.263044639423509530e+00,1.258464543244482758e+00,1.263044639423509530e+00
